Model,Test_Accuracy,CV_Accuracy_Mean,CV_Accuracy_Std,Precision_Positive,Recall_Positive,F1_Positive,ROC_AUC
Random Forest (Tuned),0.7465144299730334,0.7465487131350166,0.00426621845028341,0.21352313167259787,0.6067816775728733,0.3158872716011149,0.6892865501971337
Logistic Regression,0.6411153824086293,0.6405480483571939,0.00667342893276489,0.16534972197834358,0.6722189173111244,0.26541397533763944,N/A
SVM (LinearSVC),0.6407711285788055,0.6400546020654466,0.006125678589999005,0.16540035067212155,0.6734086853063652,0.26557184750733137,N/A
